Sample	mappedNetworkCwR.count_Hong_Kong_to_New_York	mappedNetworkCwR.count_Hong_Kong_to_New_Zealand	mappedNetworkCwR.count_New_York_to_Hong_Kong	mappedNetworkCwR.count_New_York_to_New_Zealand	mappedNetworkCwR.count_New_Zealand_to_Hong_Kong	mappedNetworkCwR.count_New_Zealand_to_New_York
766000	0	1	3	1	0	0
767000	0	1	3	3	0	3
768000	0	2	3	4	1	3
769000	1	0	2	3	0	2
770000	0	5	2	2	2	2
771000	1	2	2	3	2	4
772000	0	2	4	1	2	3
773000	0	1	0	1	3	2
774000	0	2	1	0	5	3
775000	0	2	0	0	2	2
776000	0	1	0	0	3	3
777000	0	3	1	0	2	2
778000	0	3	0	0	1	2
779000	0	0	0	0	2	2
780000	0	3	1	0	2	3
781000	0	0	2	2	0	2
782000	0	0	2	0	0	4
783000	0	0	0	0	2	3
784000	0	0	1	0	1	3
785000	0	1	1	0	3	3
786000	0	0	0	0	2	3
787000	1	1	1	0	2	1
788000	0	0	1	0	1	3
789000	0	2	0	0	2	3
790000	0	0	1	2	1	2
791000	0	0	0	1	2	2
792000	0	0	0	0	2	3
793000	0	0	2	2	0	3
794000	0	0	1	1	1	4
795000	0	0	0	1	2	4
796000	0	0	0	0	2	2
797000	0	0	0	0	2	3
798000	1	0	0	0	3	1
799000	0	0	2	2	0	0
800000	0	0	0	6	2	3
801000	1	0	0	1	3	2
802000	0	0	0	0	2	2
803000	1	0	0	1	3	3
804000	0	0	0	1	2	2
805000	2	0	0	0	3	2
806000	0	0	0	1	2	1
807000	0	0	0	0	2	2
808000	0	0	0	1	2	5
809000	1	0	1	1	2	1
810000	1	0	3	3	0	1
811000	2	0	3	3	1	0
812000	0	0	2	3	0	1
813000	1	0	0	0	3	3
814000	2	0	2	2	1	2
815000	2	0	3	2	0	2
816000	3	0	1	2	2	0
817000	1	0	2	2	1	1
818000	4	0	0	3	0	1
819000	5	0	0	2	0	0
820000	5	0	0	4	1	0
821000	5	1	2	1	0	0
822000	3	4	2	0	1	1
823000	2	0	1	2	1	3
824000	1	0	2	3	1	2
825000	5	1	0	3	0	2
826000	2	1	2	3	1	5
827000	0	0	2	2	0	0
828000	0	1	3	1	0	0
829000	2	1	3	2	0	1
830000	4	2	5	1	0	1
831000	4	2	6	1	1	0
832000	4	1	3	2	1	0
833000	1	2	5	0	0	0
834000	2	3	0	0	1	0
835000	2	0	4	2	0	0
836000	5	1	2	1	0	0
837000	2	2	0	1	0	2
838000	3	1	2	1	0	0
839000	4	1	4	1	0	0
840000	5	1	1	1	0	0
841000	0	1	3	1	0	0
842000	0	1	3	0	0	5
843000	1	1	4	1	0	0
844000	2	1	1	2	0	1
845000	1	0	2	3	1	2
846000	0	0	1	4	1	1
847000	0	0	1	5	1	3
848000	2	0	4	2	0	2
849000	1	0	3	2	0	0
850000	1	0	3	3	0	1
851000	0	0	3	4	0	2
852000	0	0	2	2	0	0
